URL,Link Text,Page URL
http://www.foundationbarnesjewish.org/your-impact/mark-kodner,,http://www.foundationbarnesjewish.org/Your-Impact
http://www.foundationbarnesjewish.org/your-impact/tony-thompson,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/Your-Impact/Paul-Ripley,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/Your-Impact/William-Hawkins-MD,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/your-impact/jennifer-hillman,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/Your-Impact/Bree-McBride-RN-BSN,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/isaac-butler-pharmd,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/hannah-marchbanks,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/patrick-white-md,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/rick-pfarr,,http://www.foundationbarnesjewish.org/Your-Impact
http://www.foundationbarnesjewish.org/your-impact/abbey-cleveland,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/Your-Impact/Todd-and-Sue-Greiner,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/ramaswamy-govindan-md,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/Your-Impact/Kacey-Hampton,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/olive-gray-emmert-coe,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/melvin-blanchard-md,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/mary-schoolman,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/john-morris-md,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/jamie-corley,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/erica-griffin,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/brenda-ernst,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/bob-and-casey-obrien,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/Your-Impact/Alvin-Siteman,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/Your-Impact/Mark-and-Jane-Harrington,,http://www.foundationbarnesjewish.org/Your-Impact
https://www.foundationbarnesjewish.org/Your-Impact/Ellen-Caroll,,http://www.foundationbarnesjewish.org/Your-Impact
http://www.foundationbarnesjewish.org/How-to-Give,,http://www.foundationbarnesjewish.org/How-to-Give
http://www.foundationbarnesjewish.org/areas-to-support,intended area,http://www.foundationbarnesjewish.org/How-to-Give
http://www.foundationbarnesjewish.org/about/our-team,contact our team,http://www.foundationbarnesjewish.org/How-to-Give
http://www.foundationbarnesjewish.org/cdn-cgi/l/email-protection#33545a455a5d545152415d56405956445a405b735159501d5c4154,[email protected],http://www.foundationbarnesjewish.org/How-to-Give
http://www.foundationbarnesjewish.org/cdn-cgi/l/email-protection#5436263d2020353a2d7a32352639312614363e377a3b2633,[email protected],http://www.foundationbarnesjewish.org/How-to-Give
http://www.foundationbarnesjewish.org/How-to-Give/Donor-Advised-Fund-Giving,here,http://www.foundationbarnesjewish.org/How-to-Give
http://www.foundationbarnesjewish.org/how-to-give/matching-gifts,Search our database,http://www.foundationbarnesjewish.org/How-to-Give
http://www.foundationbarnesjewish.org/Events,,http://www.foundationbarnesjewish.org/Events
http://www.foundationbarnesjewish.org/cdn-cgi/l/email-protection#1b5d746e757f7a6f7274757d74695951535b7971783574697c35,[email protected],http://www.foundationbarnesjewish.org/Events
https://www.foundationbarnesjewish.org/Events/Legacy-Circle-Celebration-2023,"
          Learn More
        ",http://www.foundationbarnesjewish.org/Events
https://www.foundationbarnesjewish.org/Events/Leading-Edge-Medicine-Dr-Prabhu,"
          Learn More
        ",http://www.foundationbarnesjewish.org/Events
http://www.foundationbarnesjewish.org/Contact-Us,,http://www.foundationbarnesjewish.org/Contact-Us
http://www.foundationbarnesjewish.org/About/Our-Team,Our Team,http://www.foundationbarnesjewish.org/Contact-Us
http://www.foundationbarnesjewish.org/cdn-cgi/l/email-protection#16517f607f78715477647873655c73617f657e56747c7538796471,[email protected],http://www.foundationbarnesjewish.org/Contact-Us
http://www.foundationbarnesjewish.org/Grants,,http://www.foundationbarnesjewish.org/Grants
http://www.foundationbarnesjewish.org/grants/noa-changes,Grant and NOA Changes ,http://www.foundationbarnesjewish.org/Grants
http://spectrum.bjc.org/bjh, Grant Opportunity Web Portal,http://www.foundationbarnesjewish.org/Grants
http://www.foundationbarnesjewish.org/cdn-cgi/l/email-protection#a3e5e1e9ebfce4d1c2cdd7d0e3c1c9c08dccd1c4,[email protected],http://www.foundationbarnesjewish.org/Grants
http://www.foundationbarnesjewish.org/Tell-us-your-story,,http://www.foundationbarnesjewish.org/Tell-us-your-story
http://support.bjc.org/site/Donation2?df_id=1681&mfc_pref=T&1681.donation=form1,Give Now,http://www.foundationbarnesjewish.org/Cancer
https://youtu.be/kzlNiHEe22o,,http://www.foundationbarnesjewish.org/Cancer
https://www.youtube.com/watch?v=S_YqlcWAFR0,,http://www.foundationbarnesjewish.org/Cancer
https://youtu.be/qAUorPG48eM,,http://www.foundationbarnesjewish.org/Cancer
https://www.youtube.com/watch?v=JlJbgj4MphY,,http://www.foundationbarnesjewish.org/Cancer
https://youtu.be/Bm56JXVURXo,,http://www.foundationbarnesjewish.org/Cancer
http://www.foundationbarnesjewish.org/Your-Impact/connie-schneider, ,http://www.foundationbarnesjewish.org/Cancer
http://www.foundationbarnesjewish.org/Portals/_default/Skins/FoundationBJH/pdf/SharedStories.pdf, ,http://www.foundationbarnesjewish.org/Cancer
http://www.foundationbarnesjewish.org/Your-Impact/leisa-zigman,,http://www.foundationbarnesjewish.org/Cancer
https://www.foundationbarnesjewish.org/Cancer/PID/3448/evl/0/CategoryID/3/CategoryName/Cancer,Cancer,http://www.foundationbarnesjewish.org/Cancer
https://www.foundationbarnesjewish.org/Cancer/PID/3448/evl/0/CategoryID/5/CategoryName/Breast-Cancer,Breast Cancer,http://www.foundationbarnesjewish.org/Cancer
https://www.foundationbarnesjewish.org/Cancer/PID/3448/evl/0/CategoryID/6/CategoryName/Cancer-Frontier-Fund,Cancer Frontier Fund,http://www.foundationbarnesjewish.org/Cancer
https://www.foundationbarnesjewish.org/Cancer/PID/3448/evl/0/CategoryID/13?CategoryName=Women’s-Oncology,Women’s Oncology,http://www.foundationbarnesjewish.org/Cancer
https://www.foundationbarnesjewish.org/Cancer/PID/3448/evl/0/CategoryID/11/CategoryName/Philanthropy-in-Action,Philanthropy in Action,http://www.foundationbarnesjewish.org/Cancer
http://www.foundationbarnesjewish.org/Cancer#dig-deeper,,http://www.foundationbarnesjewish.org/Cancer
https://www.foundationbarnesjewish.org/Cancer/ArtMID/3448/ArticleID/104/Dr-David-Mutch-Honored-with-2022-Presidents-Achievement-Award,,http://www.foundationbarnesjewish.org/Cancer
https://www.foundationbarnesjewish.org/Cancer/ArtMID/3448/ArticleID/101/From-Co-Workers-to-Pink-Sisters-When-Mission-and-Cancer-Collide,,http://www.foundationbarnesjewish.org/Cancer
https://www.flipbookpdf.net/web/site/9843fa427a2290886f94931a4510948efdff6ba0FBP21797157.pdf.html,,http://www.foundationbarnesjewish.org/Cancer
https://support.bjc.org/site/Donation2?df_id=1900&mfc_pref=T&1900.donation=form1,Give Now,http://www.foundationbarnesjewish.org/Cancer
http://www.foundationbarnesjewish.org/Cancer/Sign-Up,Sign Up,http://www.foundationbarnesjewish.org/Cancer
http://www.foundationbarnesjewish.org/Update,,http://www.foundationbarnesjewish.org/Update
http://www.foundationbarnesjewish.org/Happy-Holidays,,http://www.foundationbarnesjewish.org/Happy-Holidays
http://www.foundationbarnesjewish.org/Join-Our-Team,,http://www.foundationbarnesjewish.org/Join-Our-Team
"https://www.bjc.org/about-us#:~:text=Our%20BJC%20Values,promise%20to%20keep%20you%20safe.",BJC values,http://www.foundationbarnesjewish.org/Join-Our-Team
http://www.foundationbarnesjewish.org/Thank-You,,http://www.foundationbarnesjewish.org/Thank-You
http://www.foundationbarnesjewish.org/cdn-cgi/l/email-protection#bddad4cbd4d3dadfdccfd3d8ced7d8cad4ced5fddfd7de93d2cfda82cec8dfd7d8dec980fad4cbd4d3da988f8dd4d3ccc8d4cfc4,,http://www.foundationbarnesjewish.org/Thank-You
https://nam10.safelinks.protection.outlook.com/?url=https%3A%2F%2Feml-pusa01.app.blackbaud.net%2Fintv2%2Fj%2F46A2F563-8F04-41AC-90D6-ADE49E851B9D%2Fr%2F46A2F563-8F04-41AC-90D6-ADE49E851B9D_E84334DF-6DB7-4A89-8B9A-EED09B0AEC7F%2Fl%2FF42466CD-3133-4B56-B619-1672A44BE6E6%2Fc&data=05%7C01%7Cmelanie.adams%40bjc.org%7Ca50a786f7eb1466a8e3508db37a38614%7C1984aac07e834a2b925df834a5a9cbd4%7C0%7C0%7C638164947690225457%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=WNgf4eHAt9PC2BU7o7WXVLwkUgYm35PbGuLpScSQIaU%3D&reserved=0,314-286-0600,http://www.foundationbarnesjewish.org/Thank-You
http://www.foundationbarnesjewish.org/Transform-Health-Care,,http://www.foundationbarnesjewish.org/Transform-Health-Care
http://www.foundationbarnesjewish.org/cdn-cgi/l/email-protection#ef8886998681888d8e9d818a9c858a98869c87af8d858cc1809d88,[email protected],http://www.foundationbarnesjewish.org/Transform-Health-Care
http://www.foundationbarnesjewish.org/Give-Organ-Transplant,,http://www.foundationbarnesjewish.org/Give-Organ-Transplant
